% Input-file of triangles for mesh shown in Fig. 1 and Fig. 3 of  
% the paper "Remarks around 50 lines of Matlab: Short finite element 
% implementation" by J. Alberty, C. Carstensen and S. A. Funken.
%
% element-number  /  1-node  /  2-node  /  3-node
%
1      1      10     13
2      1      12     13
3      10     13     2
4      2      14     13
5      2      14     15
6      2      11     15
7      11     15     3
8      3      15     16
9      12     4      13
10     13     4      17
11     13     17     5
12     13     14     5
13     14     5      15
14     15     5      18
15     15     18     6
16     15     6      16
17     4      19     20
18     4      17     20
19     17     20     5
20     5      20     21
21     5      21     22
22     5      18     22
23     18     22     6
24     6      22     23
25     19     7      20
26     20     7      24
27     20     24     8
28     20     21     8
29     21     8      22
30     22     8      25
31     22     25     9
32     22     23     9
